qt_civilian_card,qt_military_cards,qt_commercial_cards,qt_raw_materials,qt_manufactured_good,qt_scientific_cards,qt_guild_cards,wonder_id,wonder_stage,qt_clay,qt_coins,qt_compass,qt_gear,qt_glass,qt_loom,qt_ore,qt_papyrus,qt_shields,qt_stone,qt_tablet,qt_wood,civilian_points,commercial_points,guild_points,military_points,scientific_points,total_points,wonder_points,winner,total_reward
0,2,0,2,0,4,0,6,0,0,35,0,0,0,1,0,0,4,0,0,2,0,11,0,18,10,39,0,True,68
0,2,0,1,0,0,0,10,2,0,34,0,0,0,0,1,0,6,2,0,0,0,11,0,13,0,31,7,True,61
0,1,2,0,1,0,0,2,3,0,21,0,0,0,1,0,0,2,0,0,1,0,12,0,10,0,32,10,False,70
1,0,2,2,2,0,1,3,2,0,36,0,0,1,0,1,1,2,1,0,0,8,14,5,7,0,37,3,True,78
0,1,1,2,1,0,0,12,0,0,51,0,0,2,0,1,0,1,2,0,0,0,17,0,18,0,35,0,True,64
1,0,1,1,1,0,0,12,0,0,57,0,0,2,0,0,0,0,0,0,0,2,19,0,-3,0,18,0,False,44
0,1,0,2,1,5,0,4,0,1,29,0,0,1,0,0,1,3,0,0,0,0,9,0,7,18,34,0,True,65
0,2,1,0,1,2,1,9,3,0,21,0,0,1,0,0,0,5,0,0,1,0,7,1,15,4,32,5,False,65
2,0,0,0,0,0,1,12,2,0,34,0,0,1,0,0,0,0,0,0,0,5,11,1,-3,0,14,0,False,44
2,0,1,4,0,0,1,12,0,1,35,0,0,1,0,2,0,0,0,0,3,10,11,0,-2,0,19,0,False,59
0,1,1,1,2,1,0,8,1,1,39,0,0,1,0,0,1,3,0,0,0,0,13,0,5,1,22,3,True,55
1,1,0,1,1,1,0,1,1,1,50,0,0,0,0,0,1,1,0,0,0,4,16,0,-1,1,23,3,False,55
0,2,1,1,1,0,2,10,0,0,34,0,0,1,0,3,0,4,0,0,0,0,11,8,4,0,23,0,False,56
1,0,1,1,0,1,0,8,3,3,38,0,0,0,0,0,0,0,0,0,0,3,12,0,-3,4,19,3,False,55
0,1,0,1,0,1,0,8,0,2,40,0,0,0,0,0,0,1,0,0,0,0,13,0,18,1,32,0,True,57
0,0,0,1,0,1,0,11,0,1,49,0,0,0,0,0,1,0,0,0,0,0,16,0,0,1,17,0,False,39
0,0,4,0,2,2,1,9,1,0,26,0,0,1,1,0,0,0,0,0,1,0,12,3,-4,4,15,0,False,47
0,1,1,1,1,0,0,6,0,1,37,0,0,1,1,0,0,3,0,0,0,0,13,0,9,0,22,0,False,49
1,1,0,2,0,0,0,1,3,1,30,0,0,0,0,0,0,1,0,0,2,2,10,0,12,1,35,10,True,74
0,1,2,1,0,1,0,8,2,1,44,0,0,0,0,0,0,1,0,0,1,0,14,0,2,1,20,3,False,55
0,0,0,2,0,3,0,5,3,0,30,0,0,1,0,0,0,0,2,0,0,0,10,0,-2,5,23,10,False,57
